"('Sleeping', 'Windows')",38
"('FarmVille', 'Texting')",2
"('Fantasia', 'Rocky')",1
"('Golf', 'Monica')",5
"('Swimming', 'Twitter')",25
"('Money', 'NBA')",188
"('Quotes', 'RayWilliamJohnson')",3
"('Baseball', 'Daughtry')",2
"('Cooking', 'NASCAR')",1
"('Salt', 'Wipeout')",1
"('Family', 'Walmart')",12
"('Hooters', 'Nelly')",1
"('Jeep', 'Oreo')",2
"('Expedia', 'Playboy')",1
"('Madonna', 'Reading')",9
"('MTV', 'Queen')",13
"('RightChange', 'Sade')",9
"('Photography', 'Walgreens')",12
"('Bing', 'Food')",1
"('Slipknot', 'Sprite')",60
"('Rain', 'RightChange')",57
"('Hancock', 'Lost')",10
"('Bible', 'Disney')",198
"('Horoscopes', 'Inception')",28
"('Psych', 'Secret')",15
"('Budweiser', 'Disturbed')",17
"('Horoscopes', 'Queen')",1
"('RedBull', 'Reptar')",2
"('Nemo', 'Ronaldinho')",5
"('Classical', 'Glee')",3
"('Playfish', 'Seinfeld')",1
"('Family', 'Playboy')",6
"('Paramore', 'Sports')",10
"('Traveling', 'deadmau5')",10
"('Hockey', 'Monopoly')",6
"('Pandora', 'Pringles')",9
"('Drinking', 'ForAmerica')",2
"('Halloween', 'vitaminwater')",1
"('Friday', 'NHL')",1
"('Glee', 'Salt')",2
"('2011', 'Pepsi')",2
"('KISS', 'Ludacris')",6
"('Everything', 'Prayer')",2
"('Horoscopes', 'NCIS')",5
"('Hunting', 'Spartacus')",1
"('Love', 'Tangled')",5
"('Everything', 'Flyleaf')",15
"('Astrology', 'God')",5
"('House', 'Walking')",12
"('MTV', 'Marines')",331
"('Playfish', 'Sports')",16
"('Boo', 'HBO')",1
"('Goodfellas', 'LIVESTRONG')",1
"('2011', 'Marines')",1
"('Badoo', 'Batman')",31
"('Rugrats', 'Travel')",2
"('Jesus', 'Westlife')",2
"('Cars', 'Common')",27
"('Glee', 'HBO')",108
"('Jeep', 'Photography')",15
"('Chess', 'Expedia')",2
"('Drinking', 'Shameless')",1
"('Horoscopes', 'MTV')",9
"('Basketball', 'Disturbed')",28
"('LuxDelux', 'UNO')",1
"('Photography', 'Playboy')",262
"('SouthPark', 'Stewie')",1
"('India', 'Jeep')",57
"('NFL', 'Tide')",1
"('Rugby', 'iPod')",3
"('Sleeping', 'Walking')",54
"('Lost', 'SportsCenter')",1
"('Disneyland', 'Pitbull')",1
"('Coach', 'Friendship')",1
"('Slurpee', 'Transformers')",6
"('Oasis', 'Running')",4
"('Shrek', 'Titanic')",153
"('PopChat', 'Tide')",2
"('Marvel', 'Reggae')",1
"('Starbucks', 'Xbox')",43
"('PetVille', 'Skittles')",33
"('Brownies', 'Everything')",5
"('NBA', 'Puma')",8
"('Weekend', 'Xbox')",423
"('Batman', 'Cooking')",10
"('Jazz', 'Soccer')",5
"('Shaq', 'Tisto')",6
"('Transformers', 'Travel')",725
"('Softball', 'UNO')",6
"('Blues', 'Cuddling')",15
"('Madonna', 'Money')",166
"('Intel', 'Radiohead')",2
"('Lost', 'MythBusters')",19
"('Megadeth', 'NCIS')",2
"('Fantasia', 'NFL')",2
"('Cash', 'YouTube')",2
"('Lost', 'Survivor')",3
"('Bible', 'Cuddling')",39
"('Metallica', 'Pillsbury')",1
"('Creed', 'Jesus')",3
"('Maltesers', 'Sleeping')",2
"('SarahPalin', 'Slash')",1
"('Pop', 'Westlife')",3
"('Blues', 'GodVine')",1
"('Brownies', 'Maltesers')",1
"('Thunderstorms', 'Windows')",6
"('Hockey', 'Soccer')",5
"('Lost', 'Nemo')",13
"('Korn', 'Starbucks')",3
"('LIVESTRONG', 'ShoeDazzle')",1
"('Love', 'TaylorSwift')",1
"('Lost', 'Supernatural')",1
"('Casino', 'DailyHoroscope')",1
"('Anime', 'Everything')",3
"('Cricket', 'Evanescence')",29
"('Batman', 'BernieMac')",46
"('BudLight', 'Cars')",1
